№,Эмодзи,Unicode_Код,Десятичный_Код
282,🧊,U+1F9CA,129482
283,🧋,U+1F9CB,129483
284,🧌,U+1F9CC,129484
285,🧍,U+1F9CD,129485
286,🧎,U+1F9CE,129486
287,🧏,U+1F9CF,129487
288,🧐,U+1F9D0,129488
289,🧑,U+1F9D1,129489
290,🧒,U+1F9D2,129490
291,🧓,U+1F9D3,129491
292,🧔,U+1F9D4,129492
293,🧕,U+1F9D5,129493
294,🧖,U+1F9D6,129494
295,🧗,U+1F9D7,129495
296,🧘,U+1F9D8,129496
297,🧙,U+1F9D9,129497
298,🧚,U+1F9DA,129498
299,🧛,U+1F9DB,129499
300,🧜,U+1F9DC,129500
301,🧝,U+1F9DD,129501
302,🧞,U+1F9DE,129502
303,🧟,U+1F9DF,129503
304,🧠,U+1F9E0,129504
305,🧡,U+1F9E1,129505
306,🧢,U+1F9E2,129506
307,🧣,U+1F9E3,129507
308,🧤,U+1F9E4,129508
309,🧥,U+1F9E5,129509
310,🧦,U+1F9E6,129510
311,🧧,U+1F9E7,129511
312,🧨,U+1F9E8,129512
313,🧩,U+1F9E9,129513
314,🧪,U+1F9EA,129514
315,🧫,U+1F9EB,129515
316,🧬,U+1F9EC,129516
317,🧭,U+1F9ED,129517
318,🧮,U+1F9EE,129518
319,🧯,U+1F9EF,129519
320,🧰,U+1F9F0,129520
321,🧱,U+1F9F1,129521
322,🧲,U+1F9F2,129522
323,🧳,U+1F9F3,129523
324,🧴,U+1F9F4,129524
325,🧵,U+1F9F5,129525
326,🧶,U+1F9F6,129526
327,🧷,U+1F9F7,129527
328,🧸,U+1F9F8,129528
329,🧹,U+1F9F9,129529
330,🧺,U+1F9FA,129530
331,🧻,U+1F9FB,129531
332,🧼,U+1F9FC,129532
333,🧽,U+1F9FD,129533
334,🧾,U+1F9FE,129534
335,🌀,U+1F300,127744
336,🌁,U+1F301,127745
337,🌂,U+1F302,127746
338,🌃,U+1F303,127747
339,🌄,U+1F304,127748
340,🌅,U+1F305,127749
341,🌆,U+1F306,127750
342,🌇,U+1F307,127751
343,🌈,U+1F308,127752
344,🌉,U+1F309,127753
345,🌊,U+1F30A,127754
346,🌋,U+1F30B,127755
347,🌌,U+1F30C,127756
348,🌍,U+1F30D,127757
349,🌎,U+1F30E,127758
350,🌏,U+1F30F,127759
351,🌐,U+1F310,127760
352,🌑,U+1F311,127761
353,🌒,U+1F312,127762
354,🌓,U+1F313,127763
355,🌔,U+1F314,127764
356,🌕,U+1F315,127765
357,🌖,U+1F316,127766
358,🌗,U+1F317,127767
359,🌘,U+1F318,127768
360,🌙,U+1F319,127769
361,🌚,U+1F31A,127770
362,🌛,U+1F31B,127771
363,🌜,U+1F31C,127772
364,🌝,U+1F31D,127773
365,🌞,U+1F31E,127774
366,🌟,U+1F31F,127775
367,🌠,U+1F320,127776
368,🌡,U+1F321,127777
369,🌢,U+1F322,127778
370,🌣,U+1F323,127779
371,🌤,U+1F324,127780
372,🌥,U+1F325,127781
373,🌦,U+1F326,127782
374,🌧,U+1F327,127783
375,🌨,U+1F328,127784
376,🌩,U+1F329,127785
377,🌪,U+1F32A,127786
378,🌫,U+1F32B,127787
379,🌬,U+1F32C,127788
380,🌭,U+1F32D,127789
381,🌮,U+1F32E,127790
382,🌯,U+1F32F,127791
383,🌰,U+1F330,127792
384,🌱,U+1F331,127793
385,🌲,U+1F332,127794
386,🌳,U+1F333,127795
387,🌴,U+1F334,127796
388,🌵,U+1F335,127797
389,🌶,U+1F336,127798
390,🌷,U+1F337,127799
391,🌸,U+1F338,127800
392,🌹,U+1F339,127801
393,🌺,U+1F33A,127802
394,🌻,U+1F33B,127803
395,🌼,U+1F33C,127804
396,🌽,U+1F33D,127805
397,🌾,U+1F33E,127806
398,🌿,U+1F33F,127807
399,🍀,U+1F340,127808
400,🍁,U+1F341,127809
401,🍂,U+1F342,127810
402,🍃,U+1F343,127811
403,🍄,U+1F344,127812
404,🍅,U+1F345,127813
405,🍆,U+1F346,127814
406,🍇,U+1F347,127815
407,🍈,U+1F348,127816
408,🍉,U+1F349,127817
409,🍊,U+1F34A,127818
410,🍋,U+1F34B,127819
411,🍌,U+1F34C,127820
412,🍍,U+1F34D,127821
413,🍎,U+1F34E,127822
414,🍏,U+1F34F,127823
415,🍐,U+1F350,127824
416,🍑,U+1F351,127825
417,🍒,U+1F352,127826
418,🍓,U+1F353,127827
419,🍔,U+1F354,127828
420,🍕,U+1F355,127829
421,🍖,U+1F356,127830
422,🍗,U+1F357,127831
423,🍘,U+1F358,127832
424,🍙,U+1F359,127833
425,🍚,U+1F35A,127834
426,🍛,U+1F35B,127835
427,🍜,U+1F35C,127836
428,🍝,U+1F35D,127837
429,🍞,U+1F35E,127838
430,🍟,U+1F35F,127839
431,🍠,U+1F360,127840
432,🍡,U+1F361,127841
433,🍢,U+1F362,127842
434,🍣,U+1F363,127843
435,🍤,U+1F364,127844
436,🍥,U+1F365,127845
437,🍦,U+1F366,127846
